TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
AALR3;11,11;0,79;-12,80;1,12;0,51;16,36;-1,64;-11,44;-89,46;-129,57;-40,11;0,50;1,46;-41,07;-0,67;0,95;-8,73;-4,02;-1,55;0,46;0,53;0,35;22,24;;5.610.190,33;9,95;-0,87
ABCB4;16,22;3,06;10,83;0,86;0,08;0,21;-5,66;5,33;-10,20;-10,20;;;0,58;1,23;-0,09;2,03;7,90;0,72;;0,09;0,91;0,13;5,50;8,66;14.033.269,88;18,96;1,50
ABEV3;16,53;2,50;29,92;3,33;2,05;54,66;24,83;15,61;18,81;17,64;-1,18;-0,21;4,67;29,48;-2,96;1,29;11,14;6,84;15,68;0,61;0,37;0,44;6,67;-0,28;473.240.687,83;4,96;0,55
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38
AERI3;10,66;;59,23;47,41;4,95;13,30;12,42;7,92;37,77;41,65;3,88;4,87;4,69;36,45;-13,99;1,27;80,04;8,36;15,40;0,10;0,90;1,05;;;29.244.934,50;0,22;0,18
AFLT3;10,54;6,86;30,05;3,56;3,16;64,57;59,24;59,01;29,93;28,32;-1,61;-0,19;17,73;14,67;-4,48;3,73;11,85;10,51;10,82;0,89;0,11;0,18;2,20;11,01;28.589,22;2,96;0,35
AGRO3;25,90;2,74;8,24;1,43;0,79;30,53;22,62;25,46;9,28;12,13;2,86;0,44;2,10;6,64;-1,15;1,61;17,40;9,55;9,57;0,55;0,45;0,37;13,49;-7,94;6.462.800,08;18,06;3,14
AHEB3;22,81;;-14,36;16,01;0,76;26,80;-6,37;-8,22;-18,53;-16,58;1,95;-1,69;1,18;-7,34;-0,88;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;67.317,00;1,42;-1,59
AHEB5;23,65;;-14,89;16,60;0,79;26,80;-6,37;-8,22;-19,21;-16,58;1,95;-1,69;1,22;-7,61;-0,92;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;3.341,00;1,42;-1,59
AHEB6;22,95;;-14,45;16,11;0,76;26,80;-6,37;-8,22;-18,64;-16,58;1,95;-1,69;1,19;-7,39;-0,89;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;6.331,00;1,42;-1,59
ALPA3;36,89;0,14;105,87;7,53;3,56;55,07;10,09;6,58;69,07;71,57;-0,97;-0,11;6,97;14,19;-9,92;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;116.331,17;4,90;0,35
ALPA4;40,70;0,14;116,80;8,30;3,93;55,07;10,09;6,58;76,21;71,57;-0,97;-0,11;7,69;15,66;-10,94;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;59.526.759,88;4,90;0,35
ALPK3;8,97;;-10,77;2,50;0,50;29,41;3,23;-21,71;72,43;138,84;66,41;2,30;2,34;-4,16;-0,58;0,54;-23,24;-4,64;0,80;0,20;0,80;0,21;;;792.879,17;3,58;-0,83
ALSO3;27,15;;27,15;1,10;0,66;67,80;52,25;28,78;14,95;12,25;-2,70;-0,20;7,81;5,04;-0,79;5,26;4,04;2,45;5,60;0,61;0,29;0,09;18,45;-27,08;47.142.619,08;24,77;1,00
ALUP11;26,51;2,60;12,97;1,41;0,37;46,15;44,80;11,73;3,40;6,20;2,81;1,17;1,52;3,65;-0,46;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;20.477.329,13;18,77;2,04
ALUP3;8,80;2,61;12,92;1,41;0,37;46,15;44,80;11,73;3,38;6,20;2,81;1,17;1,52;3,64;-0,46;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;168.639,63;6,26;0,68
ALUP4;8,70;2,64;12,77;1,39;0,37;46,15;44,80;11,73;3,34;6,20;2,81;1,17;1,50;3,59;-0,46;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;160.810,29;6,26;0,68
AMAR3;6,26;;-5,38;1,60;0,54;39,75;-10,67;-13,41;-6,77;-10,89;-4,12;0,97;0,72;4,67;-1,08;1,31;-29,68;-10,11;-10,43;0,34;0,66;0,75;-2,93;;30.131.800,08;3,92;-1,16
AMBP3;26,08;;149,15;2,43;1,87;23,58;17,74;3,30;27,72;23,22;-4,50;-0,40;4,92;3,85;-4,38;6,57;1,63;1,26;6,31;0,77;0,21;0,38;;;12.978.317,25;10,71;0,17
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48
ANIM3;35,87;;-132,92;2,91;1,30;49,49;8,30;-2,66;42,57;47,33;4,76;0,33;3,54;5,57;-2,02;2,96;-2,19;-0,98;3,71;0,45;0,55;0,37;11,24;;36.986.138,63;12,31;-0,27
APER3;34,37;0,15;3.868,36;2,20;1,34;100,00;-0,30;0,10;-1.285,25;-1.115,07;170,19;-0,29;3,92;10,89;-1,83;1,86;0,06;0,03;-0,44;0,61;0,39;0,34;-16,64;-31,12;977.262,46;15,60;0,01
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,80;0,12;0,03;0,16;0,18;-0,01;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
APTI4;3.500,00;;1,23;0,22;0,13;29,60;283,02;228,44;0,99;0,80;0,12;0,03;2,81;3,18;-0,16;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
ARZZ3;64,10;0,83;211,53;9,16;3,57;46,48;5,19;2,14;87,08;86,82;-0,26;-0,03;4,52;12,15;-14,38;1,64;4,33;1,69;4,14;0,39;0,61;0,79;9,79;7,54;32.704.361,83;7,00;0,30
