TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
AALR3;11,43;0,76;-13,16;1,15;0,53;16,36;-1,64;-11,44;-92,04;-132,14;-40,11;0,50;1,51;-42,25;-0,69;0,95;-8,73;-4,02;-1,55;0,46;0,53;0,35;22,24;;4.913.089,38;9,95;-0,87
ABCB4;15,56;4,18;10,39;0,82;0,07;0,21;-5,66;5,33;-9,79;-9,79;;;0,55;1,18;-0,09;2,03;7,90;0,72;;0,09;0,91;0,13;5,50;8,66;11.809.006,71;18,96;1,50
ABEV3;15,86;2,61;28,71;3,20;1,96;54,66;24,83;15,61;18,05;16,88;-1,18;-0,21;4,48;28,28;-2,84;1,29;11,14;6,84;15,68;0,61;0,37;0,44;6,67;-0,28;506.535.310,29;4,96;0,55
ADHM3;1,89;;-4,95;-1,56;127,36;100,00;-13.548,48;-18.860,61;-6,89;-6,89;0,00;;933,98;-1,73;-140,74;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;151.730,41;-1,21;-0,38
AERI3;7,54;;41,90;33,53;3,50;13,30;12,42;7,92;26,72;30,59;3,88;4,87;3,32;25,78;-9,89;1,27;80,04;8,36;15,40;0,10;0,90;1,05;;;17.520.207,32;0,22;0,18
AFLT3;9,85;7,34;28,08;3,33;2,95;64,57;59,24;59,01;27,98;26,36;-1,61;-0,19;16,57;13,71;-4,18;3,73;11,85;10,51;10,82;0,89;0,11;0,18;2,20;11,01;21.341,59;2,96;0,35
AGRO3;25,84;2,75;8,22;1,43;0,79;30,53;22,62;25,46;9,26;12,11;2,86;0,44;2,09;6,62;-1,14;1,61;17,40;9,55;9,57;0,55;0,45;0,37;13,49;-7,94;5.753.814,76;18,06;3,14
AHEB3;24,48;;-15,41;17,18;0,81;26,80;-6,37;-8,22;-19,88;-17,95;1,95;-1,69;1,27;-7,88;-0,95;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;27.359,08;1,42;-1,59
AHEB5;23,65;;-14,89;16,60;0,79;26,80;-6,37;-8,22;-19,21;-17,95;1,95;-1,69;1,22;-7,61;-0,92;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;3.341,00;1,42;-1,59
AHEB6;25,63;;-16,14;17,99;0,85;26,80;-6,37;-8,22;-20,82;-17,95;1,95;-1,69;1,33;-8,25;-0,99;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;7.897,00;1,42;-1,59
ALPA3;38,00;0,13;109,05;7,75;3,67;55,07;10,09;6,58;71,15;73,46;-0,97;-0,11;7,18;14,62;-10,22;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;122.231,88;4,90;0,35
ALPA4;41,60;0,13;119,38;8,49;4,02;55,07;10,09;6,58;77,89;73,46;-0,97;-0,11;7,86;16,00;-11,18;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;125.683.001,76;4,90;0,35
