TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
AALR3;11,27;0,77;-12,98;1,13;0,52;16,36;-1,64;-11,44;-90,75;-130,86;-40,11;0,50;1,48;-41,66;-0,68;0,95;-8,73;-4,02;-1,55;0,46;0,53;0,35;22,24;;5.465.173,45;9,95;-0,87
ABCB4;16,04;3,10;10,71;0,85;0,08;0,21;-5,66;5,33;-10,09;-10,09;;;0,57;1,21;-0,09;2,03;7,90;0,72;;0,09;0,91;0,13;5,50;8,66;14.180.800,52;18,96;1,50
ABEV3;15,95;3,07;28,87;3,22;1,98;54,66;24,83;15,61;18,15;16,98;-1,18;-0,21;4,51;28,44;-2,85;1,29;11,14;6,84;15,68;0,61;0,37;0,44;6,67;-0,28;472.125.742,62;4,96;0,55
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38
AERI3;13,05;;72,51;58,04;6,06;13,30;12,42;7,92;46,24;50,12;3,88;4,87;5,74;44,62;-17,12;1,27;80,04;8,36;15,40;0,10;0,90;1,05;;;39.692.332,31;0,22;0,18
AFLT3;10,27;7,04;29,28;3,47;3,08;64,57;59,24;59,01;29,17;27,55;-1,61;-0,19;17,28;14,30;-4,36;3,73;11,85;10,51;10,82;0,89;0,11;0,18;2,20;11,01;29.904,21;2,96;0,35
AGRO3;27,00;2,63;8,59;1,50;0,82;30,53;22,62;25,46;9,67;12,53;2,86;0,44;2,19;6,92;-1,20;1,61;17,40;9,55;9,57;0,55;0,45;0,37;13,49;-7,94;6.935.570,76;18,06;3,14
AHEB3;24,24;;-15,26;17,02;0,81;26,80;-6,37;-8,22;-19,69;-17,72;1,95;-1,69;1,25;-7,80;-0,94;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;78.272,22;1,42;-1,59
AHEB5;24,99;;-15,73;17,54;0,83;26,80;-6,37;-8,22;-20,30;-17,72;1,95;-1,69;1,29;-8,05;-0,97;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;2.499,00;1,42;-1,59
AHEB6;23,01;;-14,49;16,15;0,76;26,80;-6,37;-8,22;-18,69;-17,72;1,95;-1,69;1,19;-7,41;-0,89;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;6.571,17;1,42;-1,59
ALPA3;36,83;0,14;105,70;7,51;3,56;55,07;10,09;6,58;68,96;71,87;-0,97;-0,11;6,96;14,17;-9,90;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;102.698,38;4,90;0,35
ALPA4;41,09;0,13;117,92;8,38;3,97;55,07;10,09;6,58;76,94;71,87;-0,97;-0,11;7,76;15,81;-11,05;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;59.828.250,03;4,90;0,35
ALPK3;9,00;;-10,81;2,51;0,50;29,41;3,23;-21,71;72,67;139,08;66,41;2,30;2,35;-4,18;-0,58;0,54;-23,24;-4,64;0,80;0,20;0,80;0,21;;;843.984,48;3,58;-0,83
ALSO3;26,92;;26,92;1,09;0,66;67,80;52,25;28,78;14,83;12,12;-2,70;-0,20;7,75;5,00;-0,79;5,26;4,04;2,45;5,60;0,61;0,29;0,09;18,45;-27,08;49.588.313,72;24,77;1,00
ALUP11;27,68;2,49;13,55;1,47;0,39;46,15;44,80;11,73;3,55;6,35;2,81;1,17;1,59;3,81;-0,48;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;19.892.757,66;18,77;2,04
