TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
AALR3;12,18;0,72;-14,03;1,22;0,56;16,36;-1,64;-11,44;-98,07;-138,18;-40,11;0,50;1,60;-45,02;-0,73;0,95;-8,73;-4,02;-1,55;0,46;0,53;0,35;22,24;;4.787.539,28;9,95;-0,87
ABCB4;14,91;4,36;9,96;0,79;0,07;0,21;-5,66;5,33;-9,38;-9,38;;;0,53;1,13;-0,08;2,03;7,90;0,72;;0,09;0,91;0,13;5,50;8,66;11.178.048,86;18,96;1,50
ABEV3;15,50;3,17;28,06;3,13;1,92;54,66;24,83;15,61;17,64;16,47;-1,18;-0,21;4,38;27,64;-2,77;1,29;11,14;6,84;15,68;0,61;0,37;0,44;6,67;-0,28;501.116.548,83;4,96;0,55
ADHM3;2,06;;-5,40;-1,70;138,82;100,00;-13.548,48;-18.860,61;-7,51;-7,51;0,00;;1.017,99;-1,89;-153,40;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;162.111,10;-1,21;-0,38
AERI3;7,24;;39,20;31,37;3,28;13,30;12,42;7,92;25,00;28,87;3,88;4,87;3,11;24,12;-9,26;1,27;80,04;8,36;15,40;0,10;0,90;1,05;;;17.244.515,78;0,23;0,18
AFLT3;9,90;7,30;28,23;3,34;2,97;64,57;59,24;59,01;28,12;26,50;-1,61;-0,19;16,66;13,78;-4,20;3,73;11,85;10,51;10,82;0,89;0,11;0,18;2,20;11,01;23.366,21;2,96;0,35
AGRO3;25,26;2,81;8,04;1,40;0,77;30,53;22,62;25,46;9,05;11,91;2,86;0,44;2,05;6,47;-1,12;1,61;17,40;9,55;9,57;0,55;0,45;0,37;13,49;-7,94;6.082.521,52;18,06;3,14
AHEB3;22,26;;-14,01;15,63;0,74;26,80;-6,37;-8,22;-18,08;-16,17;1,95;-1,69;1,15;-7,17;-0,86;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;28.533,10;1,42;-1,59
AHEB5;23,65;;-14,89;16,60;0,79;26,80;-6,37;-8,22;-19,21;-16,17;1,95;-1,69;1,22;-7,61;-0,92;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;3.341,00;1,42;-1,59
AHEB6;25,63;;-16,14;17,99;0,85;26,80;-6,37;-8,22;-20,82;-16,17;1,95;-1,69;1,33;-8,25;-0,99;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;7.897,00;1,42;-1,59
ALPA3;36,90;0,14;105,90;7,53;3,57;55,07;10,09;6,58;69,09;71,24;-0,97;-0,11;6,97;14,19;-9,92;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;132.400,83;4,90;0,35
ALPA4;40,33;0,14;115,74;8,23;3,90;55,07;10,09;6,58;75,52;71,24;-0,97;-0,11;7,62;15,51;-10,84;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;139.271.612,03;4,90;0,35
ALPK3;9,23;;-11,08;2,58;0,51;29,41;3,23;-21,71;74,52;140,94;66,41;2,30;2,41;-4,28;-0,60;0,54;-23,24;-4,64;0,80;0,20;0,80;0,21;;;690.930,72;3,58;-0,83
ALSO3;29,81;;29,81;1,20;0,73;67,80;52,25;28,78;16,42;13,72;-2,70;-0,20;8,58;5,54;-0,87;5,26;4,04;2,45;5,60;0,61;0,29;0,09;18,45;-27,08;52.692.281,24;24,77;1,00
ALUP11;26,94;2,56;13,18;1,43;0,38;46,15;44,80;11,73;3,45;6,26;2,81;1,17;1,55;3,71;-0,47;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;21.454.558,38;18,77;2,04
ALUP3;9,09;2,53;13,35;1,45;0,38;46,15;44,80;11,73;3,49;6,26;2,81;1,17;1,57;3,76;-0,48;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;776.752,17;6,26;0,68
ALUP4;8,98;2,56;13,18;1,43;0,38;46,15;44,80;11,73;3,45;6,26;2,81;1,17;1,55;3,71;-0,47;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;145.353,48;6,26;0,68
AMAR3;7,05;;-6,06;1,80;0,61;39,75;-10,67;-13,41;-7,62;-11,74;-4,12;0,97;0,81;5,26;-1,22;1,31;-29,68;-10,11;-10,43;0,34;0,66;0,75;-2,93;;25.692.013,62;3,92;-1,16
AMBP3;27,26;;155,90;2,54;1,96;23,58;17,74;3,30;28,98;24,47;-4,50;-0,40;5,14;4,03;-4,58;6,57;1,63;1,26;6,31;0,77;0,21;0,38;;;10.286.399,48;10,71;0,17
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;3.914.628,00;12,94;0,48
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48
ANIM3;37,85;;-140,26;3,08;1,38;49,49;8,30;-2,66;44,93;49,68;4,76;0,33;3,73;5,88;-2,13;2,96;-2,19;-0,98;3,71;0,45;0,55;0,37;11,24;;39.137.529,86;12,31;-0,27
APER3;34,07;0,16;3.834,59;2,18;1,33;100,00;-0,30;0,10;-1.274,03;-1.103,85;170,19;-0,29;3,88;10,79;-1,81;1,86;0,06;0,03;-0,44;0,61;0,39;0,34;-16,64;-31,12;916.272,93;15,60;0,01
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,80;0,12;0,03;0,16;0,18;-0,01;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
APTI4;3.500,00;;1,23;0,22;0,13;29,60;283,02;228,44;0,99;0,80;0,12;0,03;2,81;3,18;-0,16;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
ARZZ3;69,61;0,76;229,72;9,95;3,88;46,48;5,19;2,14;94,56;94,30;-0,26;-0,03;4,90;13,19;-15,61;1,64;4,33;1,69;4,14;0,39;0,61;0,79;9,79;7,54;40.719.054,21;7,00;0,30
ATMP3;3,65;;-0,23;-1,13;0,06;-12,35;-26,96;-43,36;-0,38;-1,97;-1,59;;0,10;-0,19;-0,07;0,41;-485,09;-23,60;-75,21;-0,05;1,05;0,54;-21,09;;40.819,79;-3,22;-15,62
ATOM3;3,35;;5,73;4,25;2,68;100,00;36,63;42,69;6,68;5,32;-1,37;-0,87;2,45;2,81;-648,26;23,47;74,12;46,67;58,21;0,63;0,37;1,09;;;424.203,59;0,79;0,58
AURA33;54,75;;6,95;0,74;0,42;36,09;27,25;11,57;2,95;2,67;-0,29;-0,07;0,80;2,81;-0,67;1,66;10,58;6,03;17,21;0,57;0,43;0,52;;;9.845.518,03;74,45;7,88
AVLL3;29,55;;-2,14;3,44;0,32;-45,93;-167,05;-157,56;-2,02;-4,76;-2,74;4,67;3,37;5,41;-0,49;1,20;-160,67;-14,98;-27,79;0,09;0,90;0,10;;;;8,60;-13,82
AZEV3;8,26;;-0,37;-0,17;0,72;1.622,59;3.562,68;5.901,50;-0,61;-0,79;-0,42;;;-0,23;-1,66;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;145.135,34;-48,76;-22,55
AZEV4;3,44;;-0,15;-0,07;0,30;1.622,59;3.562,68;5.901,50;-0,25;-0,79;-0,42;;;-0,09;-0,69;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;235.709,31;-48,76;-22,55
AZUL4;40,72;;-3,96;-3,70;3,68;-31,79;-48,57;-178,33;-14,53;-19,28;-4,75;;7,06;-7,08;-4,97;0,33;-93,39;-92,99;-85,25;-1,00;2,00;0,52;14,54;;530.337.943,55;-11,01;-10,29
B3SA3;58,84;3,28;31,98;4,85;2,67;96,89;62,80;47,79;24,34;22,78;-1,56;-0,31;15,28;16,03;-4,14;1,88;15,17;8,35;12,24;0,55;0,45;0,17;23,81;22,64;833.488.405,62;12,13;1,84
BAHI3;78,00;;-5,13;2,08;0,34;41,33;-8,01;-21,39;-13,71;-14,36;-0,65;0,10;1,10;-2,01;-0,38;0,41;-40,47;-6,54;-16,19;0,16;0,83;0,31;;;114.886,83;37,55;-15,20
BALM3;15,56;7,58;9,67;1,34;0,69;49,74;7,04;10,47;14,37;15,23;0,40;0,04;1,01;2,05;-2,10;2,02;13,81;7,18;4,54;0,52;0,45;0,69;5,12;-19,47;11.199,00;11,65;1,61
